# Material database for FitsGeo
# All materials have "MAT_" prefix, only atomic ratios
# Format: Name	N	Density(g/cm^3)	Formula (Z Q)
# Name - material name 
# N - number of elements in compound
# Density(g/cm^3) - density of compound in g/cm^3
# Formula (Z Q) - string with element's Z and Q separated by spaces
# This Material database is taken and adopted from SRIM Compound database,
# see SRIM disclaimer below (SRIM software website - http://srim.org/)
# ------------------------------------------------------------------------------
# SRIM.com Research Software Disclaimer
# As experimental, research software, this program is provided free of charge on
# an "as is" basis without warranty of any kind, either expressed or implied,
# including but not limited to implied warranties of merchantability and fitness
# for a particular purpose. SRIM.com does not warrant that the functions
# contained in this program will meet the user's requirements or that the
# operation of this program will be uninterrupted or error-free. Acceptance and
# use of this program constitutes the user's understanding that he will have no
# recourse to SRIM.com for any actual or consequential damages, including, but
# not limited to, lost profits or savings, arising out of the use or inability
# to use this program. Even if the user informs SRIM.com of the possibility of
# such damages, SRIM.com expects the user of this program to accept the risk of
# any harm arising out of the use of this program, or the user shall not attempt
# to use this program for any purpose.
#
# User agreement:
# By acceptance and use of this experimental program the user agrees to the
# following:
# - This program is provided for the user's personal, non-commercial,
# experimental use and the user is granted permission to copy this program to
# the extent reasonably required for such use.
# - All title, ownership and rights to this program and its associated files and
# any copies remain with SRIM.com, irrespective of the ownership of the media on
# which the program resides.
# - The user is permitted to create non-commercial derivative works to this
# program. However, all copies of the program and its derivative works must
# contain the SRIM.com copyright notice, the Experimental Software Disclaimer
# and this User Agreement.
# - By furnishing this program to the user, SRIM.com does NOT grant either
# directly or by implication, estoppel, or otherwise any license under any
# patents, patent applications, trademarks, copyrights or other rights belonging
# to SRIM.com or to any third party, except as expressly provided herein.
# - The user understands and agrees that this program and its associated files,
# and any derivative works, are to be used solely for experimental uses and are
# not to be sold, distributed to a commercial organization, or be commercially
# exploited in any manner.
#
# SRIM.com requests that the user supply to SRIM.com a copy of any changes,
# enhancements, or derivative works which the user may create. The user grants
# SRIM.com and its subsidiaries an irrevocable, nonexclusive, worldwide and
# royalty-free license to use, execute, reproduce, display, perform, prepare
# derivative works based upon, and distribute (internally and externally) copies
# of any and all such materials and derivative works thereof, and to sublicense
# others to do any, some, or all of the foregoing, (including supporting
# documentation). Copies of these modifications should be sent to:
#
#		J. F. Ziegler
#		SRIM.com
#		2835 Cox Neck Road
#		Chester, MD, 21619, USA
#-------------------------------------------------------------------------------
Name	N	Density(g/cm^3)	Formula (Z Q)
MAT_WATER_LIQUID_(ICRU-276)	 2	 1.0	 1  2  8  1
MAT_WATER_VAPOR_(ICRU-277)	 2	 0.00125	 1  2  8  1
MAT_CONCRETE	 6	 2.34	 6  23  8  40  14  12  20  12  1  10  12  2
MAT_GRAPHITE_CARBON_(ICRU-906)	 1	 2.26	 6  6
MAT_GLASS_PB	 5	 4.8	 8  59  14  24  82  5  11  7  19  4
MAT_LIF	 2	 2.635	 3  1  9  1
MAT_NACL	 2	 2.165	 11  1  17  1
MAT_PARAFFIN	 2	 0.89	 1  2  6  1
MAT_P-10_GAS	 3	 0.00156	 18  90  1  8  6  2
MAT_METHANE_CHLORO_TRIFLUORO	 3	 0.00125	 6  1  9  3  17  1
MAT_ANTHRACENE	 2	 1.243	 1  10  6  14
MAT_CSI	 2	 4.51	 55  1  53  1
MAT_PILOTB	 2	 1.02	 1  11  6  10
MAT_KI	 2	 3.13	 19  1  53  1
MAT_SCINTILLATOR_-_NAI_(ICRU-252)	 2	 3.667	 11  1  53  1
MAT_SCINTILLATOR-STILBENE_(ICRU-255)	 2	 0.9707	 1  12  6  14
MAT_SCINTILLATOR-TOLUENE_(ICRU-266)	 2	 0.8669	 1  8  6  7
MAT_GAAS	 2	 5.32	 31  1  33  1
MAT_GLASS_SODA_LIME	 6	 2.33	 8  60  14  25  11  10  20  3  12  1  13  1
MAT_GLASS_BORO_SILICATE	 5	 2.58	 8  60  14  26  5  9  11  3  13  1
MAT_PYREX	 5	 2.23	 8  65  14  25  5  7  11  2  13  1
MAT_PYREX_PB	 5	 4.8	 8  59  14  24  82  5  11  7  19  4
MAT_PMMA	 3	 0.95	 1  8  6  5  8  2
MAT_AZ_111	 3	 0.92	 1  8  6  5  8  2
MAT_SI3N4	 2	 3.44	 14  3  7  4
MAT_SIO2_QUARTZ_(ICRU-245)	 2	 2.32	 8  2  14  1
MAT_YBACUO	 4	 6.54	 39  1  56  2  29  3  8  7
MAT_HITC_TLCABACU_2223	 4	 7.0	 81  2  20  2  56  3  29  2
MAT_HITC_BISRCACUO_2212	 4	 6.54	 83  2  38  2  20  1  29  2
MAT_AL2O3	2	 3.980	13 2 8 3
MAT_BAKELITE	 3	 1.45	 1  9  6  9  8  1
MAT_DELRIN	 3	 1.42	 1  2  6  1  8  1
MAT_LEXAN_(ICRU-219)	 3	 1.2	 1  14  6  16  8  3
MAT_LUCITE	 3	 1.20	 1  8  6  5  8  2
